id,Date,Longitude,Latitude,Route,Operator,Type,Registration,Aboard,Fatalities,weather,terrain,sabotage,unknown,mechanical,human,pilot,flt_src,flt_dest,src_lon,src_lat,dest_lon,dest_lat
3107,1/11/1979,-72.072285,42.555059,"Concord, MA - White Plains, NY",Nash and Tampo - Air Taxi,Piper PA-31,N33TN,5,5,0,0,0,0,0,0,0,"Concord, MA","White Plains, NY",-71.348896,42.460519,-73.76291,41.033986
3110,01/19/1979,-85.81088,43.33613,"Lansing, MI - Marquette, MI",L.J. Simmons - Air Taxi,Aerostar 601,N7437S,6,4,1,0,0,0,0,0,1,"Lansing, MI","Marquette, MI",-84.55538,42.733771,-87.396433,46.543491
3114,2/08/1979,-48.9875,-22.46917,Bauru - Sao Paulo,TAM Lineas Aéreas Regional,Embraer 110C Bandeirante,PP-SBB,18,18,0,0,0,0,0,0,0,Bauru,Sao Paulo,-49.070586,-22.32181,-49.023235,-21.954981
3115,2/12/1979,-80.341883,39.287434,Clarksburg - Washington DC,Allegheny Airlines,Nord 262,N29824,25,2,1,0,0,0,0,0,0,Clarksburg,Washington DC,-80.344534,39.280645,-77.036646,38.894955
3116,2/12/1979,29,-16.33333,Kariba - Salisbury,Air Rhodesia,Vickers Viscount 748D,VP-YND,59,59,0,0,1,0,0,0,0,Kariba,Salisbury,28.578375,-16.893982,-1.795118,51.073661
3117,02/17/1979,174,-42,Gisborne - Auckland,Air New Zealand,Fokker F-27 Friendship 500,ZK-NFC,4,2,0,0,0,0,0,0,1,Gisborne,Auckland,178.020649,-38.661326,174.765551,-36.853466
3120,02/26/1979,-89.75036,32.75041,"Greenville, MS - Charlotte, NC",Air Service - Air Taxi,Beech 58,N2055K,3,3,0,0,0,0,0,0,0,"Greenville, MS","Charlotte, NC",-91.055131,33.400063,-80.843127,35.227087
3121,3/01/1979,-89.102426,30.382966,"Houston, TX - Gulfport, MS - New Orleans, LA",Universal Airways,Beech BE-70,N777AE,8,8,0,0,0,0,0,0,0,"Houston, TX","New Orleans, LA",-95.367697,29.758938,18.990277,-33.714995
3122,3/02/1979,-90.385282,40.944559,"Lebanon, TN - Galesburg, IL",Agee Flying Service - Air Taxi,Cessna 310B,N5384A,4,4,1,0,0,0,0,0,0,"Lebanon, TN","Galesburg, IL",-86.291094,36.207978,-90.370584,40.947978
3123,3/06/1979,113.2159,-7.7543,Denpasar - Surabaya,Garuda Indonesia Airlines,Fokker F-28 Fellowship 1000,PK-GVP,4,4,0,0,0,0,0,0,0,Denpasar,Surabaya,115.218694,-8.668777,112.737827,-7.245972
3124,3/10/1979,-117.885359,35.187133,New York - Santa Monica,Swift Aire Lines Inc.,Aerospatiale Nord 262A-33,N418SA,7,3,0,0,0,0,1,1,0,New York,Santa Monica,-73.986614,40.730646,-118.487549,34.019657
